Australian Bureau of Statistics,,
,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,
SA2 (POW),,
Counting: Persons Aged 15 Years and Over Place of Work,,
,,
Filters:,,
Default Summation,Persons Aged 15 Years and Over Place of Work,
,,
Counting,SA2 (POW),Count
Persons Aged 15 Years and Over Place of Work,Windang - Primbee,413
Persons Aged 15 Years and Over Place of Work,Illawarra Catchment Reserve,62
Persons Aged 15 Years and Over Place of Work,Albion Park - Macquarie Pass,2455
Persons Aged 15 Years and Over Place of Work,Albion Park Rail,2360
Persons Aged 15 Years and Over Place of Work,Kiama,2868
Persons Aged 15 Years and Over Place of Work,Kiama Downs - Minnamurra,581
Persons Aged 15 Years and Over Place of Work,Kiama Hinterland - Gerringong,1865
Persons Aged 15 Years and Over Place of Work,Shellharbour - Flinders,2677
Persons Aged 15 Years and Over Place of Work,Shellharbour - Oak Flats,6065
Persons Aged 15 Years and Over Place of Work,Warilla,3933
Persons Aged 15 Years and Over Place of Work,Balgownie - Fairy Meadow,5768
Persons Aged 15 Years and Over Place of Work,Corrimal - Tarrawanna - Bellambi,3334
Persons Aged 15 Years and Over Place of Work,Figtree - Keiraville,6684
Persons Aged 15 Years and Over Place of Work,Helensburgh,2029
Persons Aged 15 Years and Over Place of Work,Thirroul - Austinmer - Coalcliff,2340
Persons Aged 15 Years and Over Place of Work,Woonona - Bulli - Russell Vale,3572
Persons Aged 15 Years and Over Place of Work,Wollongong - East,20451
Persons Aged 15 Years and Over Place of Work,Wollongong - West,7475
Persons Aged 15 Years and Over Place of Work,Bulahdelah - Stroud,1301
Persons Aged 15 Years and Over Place of Work,Forster,4281
Persons Aged 15 Years and Over Place of Work,Forster-Tuncurry Region,1088
Persons Aged 15 Years and Over Place of Work,Tuncurry,2323
Persons Aged 15 Years and Over Place of Work,Kempsey,6538
Persons Aged 15 Years and Over Place of Work,Kempsey Region,1756
Persons Aged 15 Years and Over Place of Work,Macksville - Scotts Head,2429
Persons Aged 15 Years and Over Place of Work,Nambucca Heads,1902
Persons Aged 15 Years and Over Place of Work,Nambucca Heads Region,1198
Persons Aged 15 Years and Over Place of Work,South West Rocks,1048
Persons Aged 15 Years and Over Place of Work,Lord Howe Island,216
Persons Aged 15 Years and Over Place of Work,Laurieton - Bonny Hills,3075
Persons Aged 15 Years and Over Place of Work,Port Macquarie - East,8722
Persons Aged 15 Years and Over Place of Work,Port Macquarie - West,11388
Persons Aged 15 Years and Over Place of Work,Port Macquarie Region,1181
Persons Aged 15 Years and Over Place of Work,Wauchope,3146
Persons Aged 15 Years and Over Place of Work,Gloucester,1757
Persons Aged 15 Years and Over Place of Work,Old Bar - Manning Point - Red Head,1382
Persons Aged 15 Years and Over Place of Work,Taree,10581
Persons Aged 15 Years and Over Place of Work,Taree Region,1574
