INDP Industry of Employment,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
Main Statistical Area Structure (Main ASGS) (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pemberton,0,421,12,25,6,7,0,0,0,0,0,0,4,31,47,0,142,0,0,0,9,0,5,0,3,3,0,9,0,0,0,0,0,0,14,4,62,0,26,3,0,16,6,0,6,0,23,57,44,0,0,174,81,3,27,0,0,0,0,13,0,0,0,4,0,0,0,0,4,0,0,13,0,0,0,0,21,0,41,5,0,16,11,0,145,0,14,0,117,0,3,12,36,18,8,42,0,6,4,12,0,0,21,9,0,13,0,0,1875
Dawesville - Bouvard,0,10,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3,0,3,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,16,5,88,3,4,0,0,6,7,0,3,4,5,8,7,0,0,11,36,0,7,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,14,3,32,4,0,3,16,0,7,0,0,0,97,0,3,0,0,4,0,10,0,0,0,11,0,0,7,11,0,8,0,0,495
Falcon - Wannanup,0,6,0,0,4,0,0,0,0,0,0,4,8,13,0,0,0,0,0,3,3,3,3,0,0,0,11,0,0,0,0,0,0,8,22,10,114,0,4,3,0,3,4,3,4,6,13,139,95,0,0,11,217,0,5,0,0,0,0,10,3,0,0,4,0,0,0,0,0,5,3,11,0,12,0,13,50,0,38,3,0,14,31,0,25,0,3,0,78,0,8,7,3,48,11,69,0,0,3,8,5,0,21,39,5,10,0,0,1252
Greenfields,0,3,0,0,9,0,0,0,0,0,0,3,43,45,0,26,19,0,16,0,0,9,19,49,97,42,19,20,0,0,3,0,0,7,60,15,207,4,18,8,16,10,5,0,13,42,0,53,251,3,0,13,53,0,158,0,0,0,0,50,4,3,0,9,0,0,0,4,0,0,0,6,0,8,0,11,9,0,49,4,0,49,37,0,29,0,24,6,328,93,33,41,445,247,197,79,0,3,10,37,0,0,164,52,0,24,3,0,3443
Halls Head - Erskine,0,0,0,0,3,3,4,0,0,3,0,3,0,26,0,10,0,0,0,0,0,0,4,0,0,8,4,3,0,0,0,0,3,3,81,6,155,0,22,0,0,3,4,0,17,0,16,238,100,3,0,33,152,0,17,0,0,0,0,8,3,0,0,0,0,0,0,3,0,0,0,7,7,17,0,10,15,0,97,10,0,14,32,0,10,3,3,3,325,9,26,7,3,124,104,56,0,0,4,17,0,0,16,52,4,25,0,0,1952
Mandurah,0,0,0,0,9,0,5,0,0,8,3,7,23,34,3,16,5,0,16,0,3,6,17,9,26,15,12,10,0,0,0,25,51,11,87,19,258,7,30,19,26,11,22,3,42,256,35,443,1248,3,0,116,920,3,76,23,4,0,10,32,0,0,0,78,25,20,0,22,3,4,6,145,37,43,0,41,292,0,271,24,0,158,69,0,630,0,162,3,217,10,34,17,7,304,173,201,4,21,17,62,9,0,140,171,0,42,3,0,7491
Mandurah - East,0,10,0,0,0,0,3,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,4,4,0,3,0,0,0,34,0,3,0,0,16,5,65,0,3,0,0,4,3,0,3,6,15,58,14,0,0,25,38,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,3,10,0,38,4,0,9,10,0,0,0,0,0,28,8,4,0,4,0,3,8,0,0,4,11,0,0,5,3,0,5,0,0,539
Mandurah - North,0,4,0,0,0,4,0,0,0,0,0,3,4,18,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,10,40,0,135,0,0,3,0,0,0,0,3,0,9,106,125,0,0,3,66,0,22,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,8,11,0,54,13,0,13,36,0,3,13,34,0,276,3,9,4,3,20,110,71,0,0,0,11,3,0,3,35,0,7,0,0,1353
Mandurah - South,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,35,0,48,0,3,0,3,0,0,0,0,0,0,3,18,0,0,3,22,0,15,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,6,0,5,3,3,8,0,21,3,0,9,8,0,37,0,7,3,286,9,13,3,0,19,209,40,0,0,0,8,0,0,4,23,0,14,0,0,923
Pinjarra,0,212,0,0,0,5,19,0,8,20,0,23,22,37,0,3,9,0,0,0,11,3,0,1393,29,7,27,3,0,0,0,6,37,6,52,88,183,0,28,0,3,9,6,0,8,12,13,114,75,3,0,50,172,0,36,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,20,0,10,0,9,27,0,109,6,0,40,59,0,127,0,14,5,221,3,10,8,48,71,52,52,0,5,3,74,0,0,91,37,0,41,3,0,3917
City Beach,0,3,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,34,0,55,0,5,3,0,0,6,0,3,0,0,54,40,0,0,6,95,0,13,0,0,0,0,3,0,0,0,4,0,0,0,3,0,7,3,16,0,15,0,0,57,0,107,11,0,12,3,0,144,0,0,4,143,3,30,8,3,38,21,9,0,0,13,12,0,0,8,33,3,21,0,0,1088
Claremont (WA),0,15,0,0,0,0,9,0,0,4,0,12,0,38,0,13,5,0,5,3,4,3,0,0,0,0,5,10,0,7,0,0,0,3,75,14,74,3,23,8,3,30,38,6,52,9,9,299,996,7,0,18,421,4,5,0,0,3,0,6,0,0,0,13,6,0,4,14,0,0,4,64,5,40,0,19,171,0,338,37,0,40,32,0,70,0,36,10,633,25,138,32,244,293,244,50,3,0,19,43,0,0,51,198,0,37,6,0,5167
Cottesloe,0,8,0,0,0,0,4,0,3,0,0,8,4,11,8,4,3,0,3,0,4,0,0,0,0,0,7,6,0,0,0,0,0,3,68,16,63,3,8,8,0,3,15,0,13,3,0,164,221,4,3,54,329,0,5,0,0,3,0,5,3,0,0,3,0,0,0,0,3,0,8,36,7,50,0,0,89,0,192,21,0,46,23,0,90,0,31,9,117,3,31,11,0,164,57,62,0,0,7,13,0,0,7,125,7,42,3,0,2338
Floreat,0,7,0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,60,3,0,0,0,0,4,0,7,0,5,206,170,3,0,3,147,0,3,0,3,0,0,9,6,0,0,0,0,0,0,0,0,0,3,42,3,15,0,0,25,0,143,18,0,32,24,0,9,0,3,5,110,14,36,14,0,90,0,22,0,5,6,38,0,0,11,147,3,16,0,0,1553
Mosman Park - Peppermint Grove,0,13,0,0,0,0,7,0,3,0,0,13,5,27,4,3,0,0,3,0,0,0,3,3,0,10,3,3,0,0,0,0,0,4,72,8,80,3,6,0,4,9,11,0,11,0,11,172,131,3,0,21,188,0,4,0,0,0,0,8,3,0,0,3,3,0,0,0,0,10,0,30,0,17,3,16,48,3,171,24,0,30,30,0,46,0,12,13,796,15,68,18,4,148,102,222,0,16,26,25,0,0,9,60,3,28,0,0,2858
Nedlands - Dalkeith - Crawley,0,15,0,9,4,7,22,0,9,72,0,176,7,54,8,10,3,7,20,0,4,0,0,3,3,12,52,4,0,0,0,0,9,18,157,113,228,13,15,20,0,18,42,3,26,49,23,246,363,3,0,109,754,10,10,0,3,3,3,56,4,0,0,37,20,0,0,9,3,13,16,126,20,142,0,32,193,4,970,230,0,257,93,0,324,7,20,36,238,3754,123,260,5597,1399,156,275,0,6,35,54,4,0,67,253,10,129,5,0,17712
Swanbourne - Mount Claremont,0,7,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,61,0,3,0,3,48,6,69,8,7,6,0,0,6,0,5,3,7,64,34,0,0,0,123,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,3,10,0,9,34,0,341,10,0,31,39,0,128,556,29,9,631,33,130,21,397,202,21,58,4,3,11,313,0,0,9,158,4,18,0,0,3735
Kings Park (WA),0,0,0,0,0,0,0,3,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,8,0,35,3,0,3,0,0,3,0,0,0,22,0,3,0,3,0,0,0,0,89,0,39,0,0,0,4,0,0,0,0,455
Mount Hawthorn - Leederville,0,0,0,0,4,0,0,0,0,10,0,7,8,51,0,20,4,0,22,0,3,0,5,0,4,0,22,3,0,0,0,1272,0,3,76,11,140,4,7,23,3,95,17,0,14,23,4,179,293,4,0,9,525,3,57,0,0,3,0,17,8,0,0,10,35,3,3,10,4,11,6,192,28,78,0,11,140,7,692,244,0,154,40,0,274,0,65,14,427,239,60,13,21,238,29,106,0,12,18,84,6,0,48,158,0,43,0,0,6480
Mount Lawley - Inglewood,0,5,0,0,0,0,0,0,4,3,0,7,10,45,0,9,3,0,13,0,3,0,4,0,0,3,4,3,0,0,0,3,0,4,75,3,97,4,7,18,3,17,25,0,24,12,21,295,392,0,0,31,520,0,9,6,0,0,0,11,0,0,3,20,25,8,6,15,4,3,10,61,25,65,0,16,170,0,432,85,0,58,72,0,94,0,53,21,523,695,72,45,511,416,258,241,0,0,44,61,5,0,15,210,0,52,0,0,6101
North Perth,0,0,0,0,0,0,0,0,0,0,0,8,5,48,0,10,0,0,12,0,0,0,5,0,0,0,7,6,0,0,0,0,0,3,26,0,61,7,16,4,0,16,16,0,12,4,11,139,168,0,3,23,245,3,11,0,0,0,0,12,0,0,0,3,3,3,0,7,8,0,0,17,4,40,0,10,98,3,249,67,0,60,37,0,28,0,101,0,78,5,55,14,0,143,136,123,6,0,30,55,3,0,48,159,0,29,0,0,2501
Perth City,0,79,4,3,0,10,520,76,5498,5826,203,2570,169,160,18,122,7,24,451,26,177,14,48,158,345,84,294,318,18,1565,377,42,36,213,1593,1932,1731,58,587,622,29,203,311,79,256,252,239,644,4032,18,10,2365,4798,87,320,258,83,180,205,227,734,291,24,767,148,288,22,1479,197,200,137,6076,3421,3189,0,142,2362,29,25811,3762,19,5016,942,50,15010,38,4340,190,1193,1527,390,424,5451,2727,829,1189,36,182,441,484,50,3,388,2410,4,1270,25,0,134275
Subiaco - Shenton Park,0,26,10,3,0,3,72,19,21,423,5,250,30,68,12,87,11,3,44,0,11,3,16,4,3,3,39,11,0,3,8,157,16,32,453,28,275,8,22,54,6,19,115,3,48,12,13,343,895,10,4,67,1294,3,74,0,12,6,3,32,9,12,12,105,54,143,4,58,511,0,31,256,232,461,0,21,536,8,3548,684,3,518,70,4,602,5,143,19,555,145,135,242,3730,1269,470,515,6,26,52,417,6,0,116,873,6,206,6,0,22061
Wembley - West Leederville - Glendalough,0,10,0,0,0,0,14,0,4,64,0,32,10,42,0,24,4,3,81,0,4,3,3,3,0,0,39,8,0,0,0,69,0,3,150,5,140,15,41,80,5,19,120,7,12,4,19,224,208,0,0,13,306,0,21,0,0,0,3,124,4,8,0,16,13,3,0,0,0,3,9,25,27,142,0,14,105,0,712,122,0,145,39,0,80,0,73,22,472,12,61,147,1773,1248,313,500,0,3,23,37,0,0,33,159,0,64,5,0,8348
Bassendean - Eden Hill - Ashfield,0,0,0,0,0,11,26,0,3,8,0,30,135,120,0,8,81,30,73,0,6,18,17,247,184,284,531,91,0,0,0,3,36,16,69,31,257,21,37,56,56,149,98,0,18,49,4,165,94,11,3,19,199,3,115,7,0,0,6,89,12,50,3,8,3,0,0,4,3,10,0,27,183,19,0,120,50,0,185,26,0,166,37,0,104,0,18,9,350,23,30,8,5,112,171,175,3,4,16,7,0,0,90,56,0,72,9,0,5696
Bayswater - Embleton - Bedford,0,6,0,0,0,0,20,0,0,4,3,25,262,38,0,22,88,0,38,0,13,78,54,160,227,186,364,160,0,7,9,3,84,33,269,94,631,39,163,144,62,46,61,0,20,109,3,72,228,5,0,27,202,7,220,3,0,5,0,18,14,12,0,5,15,0,0,35,0,0,0,13,9,23,0,99,71,0,276,32,0,54,120,0,128,0,48,3,422,21,63,17,6,134,352,238,5,4,34,65,3,0,485,108,0,134,3,0,7385
Maylands,0,14,0,0,0,0,0,0,0,3,0,0,20,5,0,3,3,0,7,0,0,0,7,0,0,3,19,18,0,0,0,0,0,3,45,3,155,7,13,7,0,11,11,5,4,3,0,135,105,16,0,18,233,0,32,0,0,0,0,4,0,0,0,7,9,0,0,0,0,0,0,8,11,17,0,12,33,0,110,23,0,27,18,0,53,0,312,7,144,37,31,7,6,66,107,47,0,0,17,35,3,0,51,91,0,21,0,0,2214
Morley,0,3,0,0,0,0,3,0,6,7,0,3,16,339,3,36,9,0,30,0,4,10,7,8,4,4,11,28,0,0,0,0,4,3,64,7,246,10,25,11,22,73,48,0,54,243,26,461,1418,0,0,4,640,3,125,0,0,0,0,41,9,0,0,3,30,0,0,31,0,3,3,130,29,33,0,46,90,0,295,55,0,79,89,0,236,0,42,3,373,11,69,8,3,363,39,158,3,4,19,83,16,0,194,265,0,39,0,0,6906
Noranda,0,7,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,3,14,0,3,3,0,3,0,0,0,0,3,0,33,0,46,0,15,0,0,0,8,0,12,0,5,155,94,0,0,0,60,6,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,4,5,0,53,7,0,16,18,0,0,0,3,7,183,0,23,0,3,73,63,24,0,0,0,8,0,0,16,36,0,7,0,0,1121
Chidlow,0,32,0,0,0,3,0,0,0,0,18,0,11,110,3,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,3,3,8,0,43,6,3,0,0,64,0,0,0,0,20,12,3,0,0,8,19,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,0,16,0,0,0,12,0,8,0,450,0,50,9,5,0,0,3,21,20,0,3,3,0,0,0,6,4,0,12,0,0,1033
Glen Forrest - Darlington,0,4,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,0,4,0,0,0,0,0,0,0,4,6,0,0,0,0,0,3,25,3,55,0,3,3,3,0,5,0,4,3,10,43,26,0,0,3,52,0,10,0,0,3,0,9,3,0,0,0,3,0,0,0,0,0,0,6,0,4,0,4,22,0,110,17,0,10,17,0,9,0,0,0,228,4,21,3,3,54,3,4,0,0,11,0,0,0,12,17,0,11,0,0,926
Helena Valley - Koongamia,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,3,5,0,0,0,3,0,0,0,0,64,26,3,0,0,15,3,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,7,0,38,4,0,8,11,0,0,0,3,7,68,0,3,0,4,40,11,25,0,0,8,0,0,0,5,18,0,3,0,0,463
Malmalling - Reservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mundaring,0,30,0,5,0,9,3,0,0,10,0,16,23,24,0,7,3,0,0,0,3,0,5,8,18,12,15,9,0,0,0,10,11,4,52,13,153,3,29,8,14,25,3,0,5,9,25,248,120,3,0,15,269,3,69,0,0,0,0,18,0,0,0,3,4,0,0,5,0,0,0,8,5,7,0,17,54,0,169,18,0,16,38,0,256,0,10,0,347,9,34,5,7,83,50,163,0,0,7,12,0,0,79,86,0,19,0,0,2838
Swan View - Greenmount - Midvale,0,6,0,0,0,0,17,0,0,0,0,106,86,37,9,31,23,0,3,0,8,21,18,26,33,56,84,31,0,0,0,7,0,9,56,63,174,16,50,55,30,9,16,0,24,38,23,165,216,0,0,0,95,0,204,0,0,0,0,10,0,0,0,3,3,0,0,0,0,0,0,0,3,15,0,18,17,0,157,12,0,20,25,0,62,0,17,4,291,11,31,6,9,26,83,79,0,0,8,19,0,0,189,39,0,37,0,0,3045
Avon Valley National Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Ballajura,0,4,0,0,0,0,6,0,0,0,0,4,46,9,0,20,3,0,0,0,4,6,0,4,24,0,19,0,0,3,0,0,3,0,32,7,143,15,24,20,3,3,31,0,4,7,14,173,49,4,0,4,145,3,42,0,3,0,0,6,3,4,0,3,3,0,0,51,0,3,0,0,3,3,0,8,59,0,84,27,0,15,36,0,33,0,12,7,476,0,26,0,3,80,22,98,0,3,7,11,3,0,22,58,3,19,4,0,2072
Beechboro,0,39,0,0,0,6,3,0,0,0,0,0,3,25,6,9,3,0,3,0,0,4,3,0,4,3,5,3,0,3,0,3,3,0,31,13,109,0,25,0,0,13,7,0,7,3,17,262,54,0,0,10,203,3,68,4,0,0,5,10,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,12,26,0,52,5,0,7,20,0,65,0,115,11,327,4,21,3,3,44,4,70,0,46,7,21,0,0,19,54,0,21,0,0,1946
Bullsbrook,0,116,0,0,0,3,3,0,0,0,0,24,14,23,0,0,9,0,0,0,0,5,3,3,9,138,33,0,0,0,0,0,6,4,17,39,76,3,32,9,0,12,0,0,4,7,3,25,36,0,0,3,45,0,54,0,0,22,3,6,9,3,0,0,0,0,0,3,0,3,0,8,3,3,0,3,15,0,49,7,0,5,12,0,8,432,19,0,120,0,26,0,0,20,8,7,0,0,0,18,0,0,24,14,0,13,0,0,1653
Ellenbrook,0,24,0,0,0,4,3,0,0,0,13,3,8,24,16,0,4,0,0,0,0,0,8,0,8,0,10,8,0,3,0,3,3,7,58,22,257,3,9,7,0,4,9,0,9,16,8,286,298,3,0,5,485,0,56,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,3,32,0,11,0,18,79,0,131,28,0,35,57,0,39,0,41,4,587,3,69,0,0,87,89,105,0,3,4,28,4,0,37,91,0,27,0,0,3332
Gidgegannup,0,81,0,0,0,7,0,0,0,0,0,0,8,11,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,14,0,38,0,18,0,0,0,6,0,3,0,10,5,14,0,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,26,3,0,10,10,0,0,0,0,0,42,0,3,0,0,3,3,3,0,0,4,3,0,0,9,4,0,5,0,0,420
Hazelmere - South Guildford,0,15,0,0,0,0,59,0,3,56,13,421,64,39,3,3,0,0,0,9,3,4,148,29,32,51,188,0,0,3,0,0,18,12,47,166,388,5,152,365,98,14,3,0,7,3,0,15,13,6,0,16,26,10,915,3,0,0,0,14,47,9,0,3,0,0,0,0,0,0,0,27,0,6,0,88,14,4,40,5,0,31,22,0,8,19,13,0,0,5,6,0,3,7,0,3,0,0,0,19,0,0,768,10,0,56,6,0,4657
Lockridge - Kiara,0,30,0,0,0,0,0,0,0,0,0,0,4,0,48,3,5,0,0,0,3,0,97,0,0,0,0,3,0,0,0,0,0,0,21,4,45,0,0,0,0,0,6,0,3,0,7,27,44,0,0,13,54,0,23,0,0,0,0,3,0,0,0,0,0,0,0,29,0,0,0,12,0,0,0,3,4,0,14,4,0,3,17,0,29,0,45,0,156,0,9,3,5,42,40,43,0,10,4,5,0,0,14,22,0,9,0,0,980
Malaga,0,4,0,0,0,4,61,0,74,0,11,178,741,405,47,409,202,83,108,22,52,269,278,301,530,209,976,362,0,40,22,47,221,36,441,219,1614,140,438,557,72,362,400,3,74,131,31,105,991,28,0,3,278,15,361,9,8,17,3,70,9,46,0,13,0,14,0,82,18,0,0,66,13,46,0,111,50,0,672,128,0,120,212,0,8,0,142,12,11,50,55,9,0,46,50,36,5,0,10,50,13,3,720,238,0,302,6,0,15419
Melaleuca - Lexia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Swan - Herne Hill,0,73,0,0,0,3,0,0,0,0,0,0,15,16,73,4,7,0,0,0,0,3,382,0,5,3,0,4,0,0,0,0,3,9,13,3,67,0,14,0,0,6,6,0,0,0,10,23,11,0,0,10,86,3,55,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,17,0,20,3,0,19,47,0,252,0,24,7,404,159,22,34,683,137,3,55,0,4,3,7,0,0,18,33,0,12,0,0,2912
Midland - Guildford,0,15,0,0,0,7,19,0,3,10,4,55,91,50,0,14,33,0,12,3,3,38,201,68,64,53,75,27,0,0,0,10,9,26,106,76,272,5,33,92,39,35,73,26,83,238,9,599,1776,3,0,62,783,0,109,33,0,9,0,49,14,7,0,28,63,0,0,32,0,4,8,149,29,65,0,48,115,3,398,77,0,187,89,0,1365,10,1079,12,427,74,54,51,60,489,315,335,0,7,14,27,17,0,284,256,0,89,3,0,11712
Stratton - Jane Brook,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,17,0,8,0,23,0,0,0,0,0,0,0,0,0,16,35,18,0,0,0,23,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,0,19,3,0,0,3,0,7,0,0,0,74,0,0,0,6,10,0,38,0,0,0,0,0,0,17,13,0,8,0,0,431
The Vines,0,64,0,0,0,3,3,0,0,4,0,0,3,25,47,0,0,0,0,0,5,0,3,0,0,3,8,8,0,0,0,0,3,8,12,4,131,0,12,9,0,3,8,0,3,0,27,14,14,0,0,132,65,0,39,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,9,0,3,17,0,47,8,0,3,17,0,6,0,3,3,42,4,14,0,3,6,4,4,0,0,0,30,0,0,11,16,0,15,0,0,974
Walyunga National Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craigie - Beldon,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,17,0,0,17,3,88,0,3,0,0,0,3,0,9,0,5,188,57,3,0,0,219,0,18,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,9,4,0,45,9,0,9,11,0,145,0,5,6,278,3,17,4,0,77,11,59,0,0,0,49,0,0,19,51,0,7,0,0,1508
Currambine - Kinross,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,6,0,3,4,0,3,0,4,0,0,0,4,6,0,3,0,0,0,3,22,3,126,0,3,4,0,4,9,0,4,3,12,220,77,3,0,0,175,0,29,0,0,0,0,3,0,0,0,3,41,0,0,4,3,0,0,11,3,16,0,9,30,0,71,17,0,21,23,0,9,0,10,0,279,0,22,3,0,59,53,58,0,0,3,7,0,0,16,52,0,10,0,0,1593
Duncraig,0,0,0,0,0,0,4,0,0,4,0,8,3,18,0,3,8,0,3,0,3,0,0,3,3,0,9,10,0,0,0,0,0,0,49,8,133,3,3,7,0,12,9,0,3,0,5,193,105,0,0,4,222,0,32,0,0,0,0,3,0,0,0,7,3,0,0,8,0,3,3,9,3,15,0,14,59,0,210,30,0,34,22,0,26,0,36,12,572,3,54,20,264,256,102,119,0,0,13,5,5,0,22,91,4,24,0,0,2931
