INDP - 2 Digit Level,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
SA2 (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunawading,0,4,0,0,3,0,5,0,0,0,0,0,66,0,0,38,8,0,40,0,10,3,9,17,14,12,79,36,0,7,0,0,17,22,130,20,319,48,29,100,45,16,132,0,43,313,6,19,953,7,0,8,270,12,253,10,9,4,0,143,4,38,3,13,12,3,0,38,8,30,0,16,7,30,0,20,37,6,230,156,0,55,211,0,512,4,207,7,154,10,55,10,12,163,144,184,8,0,12,68,3,0,252,121,0,312,84,0,6477
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,14,23,0,0,4,14,4,0,0,0,21,5,45,8,18,0,0,3,0,0,7,19,101,18,191,28,10,87,7,8,47,0,15,66,14,119,127,4,0,0,96,5,26,0,0,0,0,18,8,8,0,8,0,0,0,21,0,0,0,5,36,11,0,15,16,0,134,41,0,38,57,0,12,0,50,4,238,8,37,0,8,128,61,108,0,0,13,3,52,0,152,68,0,142,29,0,2705
Vermont South,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,37,4,79,8,0,0,5,7,33,0,8,4,21,210,178,0,0,0,219,0,14,0,0,0,0,11,0,6,0,0,4,0,0,3,0,7,0,9,3,11,0,0,41,0,220,30,0,17,39,0,33,0,79,12,430,4,25,3,8,107,261,55,0,0,13,44,0,0,17,53,0,69,42,0,2549
Belgrave - Selby,0,57,0,0,0,3,0,0,0,0,0,0,6,16,0,0,0,0,7,0,0,0,0,0,4,0,0,3,3,3,0,5,6,10,24,14,165,0,11,5,0,10,4,0,8,0,6,112,79,0,0,10,176,4,18,24,0,0,40,29,0,0,0,6,26,0,0,4,3,6,0,0,3,8,0,0,27,0,130,46,0,25,55,0,17,0,28,5,406,14,23,0,0,79,0,54,0,3,23,30,0,0,27,32,4,68,22,0,2053
Chirnside Park,0,7,0,0,0,0,0,0,0,0,0,5,31,41,9,6,0,0,0,0,3,10,3,8,42,0,20,3,0,3,0,6,0,20,86,13,199,0,25,4,3,0,34,0,14,13,8,350,782,4,0,42,332,3,8,0,0,0,0,27,4,10,0,0,25,0,0,22,4,0,0,24,4,15,0,0,37,0,126,41,0,29,67,0,14,4,6,3,200,4,47,0,0,118,5,91,4,0,7,121,5,0,31,72,0,88,27,0,3427
Healesville - Yarra Glen,3,160,0,6,0,14,0,0,0,0,0,5,11,152,206,3,11,0,11,0,0,0,8,13,4,0,4,9,0,0,0,19,8,14,69,21,213,0,20,6,0,7,9,0,15,22,15,231,138,0,3,205,456,13,86,0,0,4,8,22,0,0,0,20,0,0,0,10,0,4,0,14,0,17,4,4,42,0,162,26,0,48,75,0,22,0,17,7,287,8,39,5,74,131,157,87,0,138,25,52,0,0,69,169,0,123,71,0,4151
Kilsyth,0,5,0,0,0,3,0,0,0,0,0,3,119,34,3,27,127,47,16,0,23,189,6,35,71,490,186,78,3,0,3,0,23,29,104,16,279,3,41,17,85,3,16,0,4,7,9,173,191,0,0,4,25,14,48,0,0,0,0,13,4,11,5,3,0,3,0,37,3,0,0,0,8,5,0,0,10,0,88,16,0,19,39,0,7,0,6,3,104,4,29,6,0,44,238,49,0,0,3,66,0,0,73,42,0,191,58,0,3740
Lilydale - Coldstream,4,197,0,3,0,9,4,0,0,7,6,7,82,201,217,10,23,4,10,5,5,29,3,33,42,29,246,38,5,141,4,22,33,24,137,121,461,17,62,49,38,41,30,0,20,218,22,383,411,0,5,100,722,6,188,21,0,14,3,20,14,10,0,8,0,0,0,11,0,9,0,54,4,31,0,12,76,4,354,32,0,104,158,0,575,0,233,12,705,46,77,20,70,329,114,434,3,31,12,125,0,0,305,225,0,325,111,0,9176
Monbulk - Silvan,3,435,4,0,0,12,0,0,0,0,0,0,14,15,5,0,0,0,0,0,96,14,0,4,4,0,3,0,0,3,0,0,0,0,22,3,133,0,145,0,0,4,0,0,3,3,6,119,86,4,0,5,63,7,87,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,23,5,11,0,0,24,0,59,6,0,17,27,0,9,0,5,0,193,4,28,4,0,55,0,27,0,0,5,51,0,0,33,59,5,70,32,0,2118
Montrose,0,5,0,0,0,0,0,3,0,0,24,0,14,5,0,0,7,0,0,0,0,4,16,3,30,17,4,14,0,0,0,0,15,6,34,12,147,0,13,3,0,0,3,0,0,4,3,39,31,0,0,0,39,5,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,18,0,85,9,0,9,36,0,6,0,0,3,202,4,14,4,54,43,155,37,0,0,0,0,0,0,38,18,0,63,20,0,1386
Mooroolbark,0,40,0,0,0,0,0,0,0,0,0,0,6,17,0,11,0,0,8,0,0,0,0,0,4,0,3,4,0,0,0,0,3,8,91,11,211,0,24,3,0,4,0,0,11,3,10,198,129,3,0,15,265,3,15,5,0,0,0,102,7,0,0,0,5,0,0,15,0,4,0,14,3,17,0,34,77,0,191,28,0,37,76,0,36,0,50,0,741,9,50,6,32,204,100,164,0,0,20,27,0,0,28,105,6,98,44,0,3445
Mount Dandenong - Olinda,0,94,0,0,4,5,0,0,0,4,0,0,3,40,0,0,0,0,3,0,0,0,5,0,0,0,7,0,0,0,0,6,0,4,30,3,91,0,35,4,0,0,7,0,15,0,0,74,121,0,3,83,486,0,0,0,0,0,0,15,0,0,0,12,12,0,0,0,3,0,0,0,4,3,0,0,77,0,116,41,0,24,37,0,5,0,0,0,159,11,31,4,0,66,9,33,0,51,23,4,0,0,16,28,4,93,23,0,2083
Mount Evelyn,3,95,0,0,0,0,0,0,0,0,0,0,18,30,0,6,0,0,0,0,4,0,4,11,4,0,4,5,0,0,0,0,3,8,47,26,160,0,60,5,0,0,3,0,5,5,12,90,67,3,0,20,106,6,21,0,0,0,0,7,3,4,0,5,4,0,0,0,0,0,0,8,0,8,0,0,19,0,75,10,0,23,46,0,17,0,11,3,286,7,26,4,0,47,13,112,0,0,3,37,0,0,34,63,0,81,24,0,1850
Upwey - Tecoma,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,26,3,81,6,5,3,0,3,8,0,10,3,16,48,42,0,0,0,173,0,9,0,0,0,0,14,5,0,0,0,3,0,0,0,3,0,0,8,9,24,0,3,22,0,99,31,0,12,40,0,23,0,0,10,191,11,35,0,7,111,11,81,0,4,26,9,0,0,31,44,0,46,16,0,1399
Wandin - Seville,0,319,0,3,0,18,0,0,0,0,0,0,18,17,59,0,3,0,3,0,5,0,0,0,3,0,4,9,0,0,0,0,0,6,56,9,151,0,28,10,0,11,0,4,4,0,10,129,35,0,0,9,97,0,29,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,3,13,0,84,11,0,19,54,0,0,0,4,4,68,0,22,0,0,32,0,7,0,0,9,3,0,0,24,38,0,55,19,0,1546
Yarra Valley,5,257,0,36,0,26,0,0,0,0,4,0,6,26,15,5,64,0,24,0,0,0,9,0,4,0,0,12,0,0,0,9,3,7,57,16,159,4,37,6,0,0,8,0,8,16,20,172,111,4,0,60,172,4,52,0,0,0,0,27,0,0,0,12,0,0,0,0,0,10,0,23,3,17,0,10,41,0,89,18,0,43,48,0,49,0,26,15,386,3,30,9,4,103,139,116,0,22,11,51,0,0,73,70,0,126,60,0,3090
Beaconsfield - Officer,0,78,0,0,0,8,0,0,0,0,0,0,6,44,13,0,6,0,5,4,11,0,3,4,4,0,0,5,7,85,3,4,10,14,125,33,256,3,33,8,5,9,7,0,10,12,35,265,117,0,0,13,586,8,88,0,0,5,0,27,0,0,0,5,4,0,0,0,0,0,0,9,19,24,0,10,45,4,199,27,0,23,53,0,269,0,9,7,610,5,35,9,0,132,12,120,0,4,10,20,3,0,73,111,0,95,53,0,3954
Bunyip - Garfield,0,350,0,0,0,7,0,0,0,0,13,6,7,74,0,3,13,0,0,0,5,0,0,5,5,0,3,3,0,3,0,4,3,23,48,43,178,0,11,0,0,16,0,0,3,21,12,61,38,0,0,3,75,20,51,0,0,0,4,19,0,0,0,4,0,0,0,6,0,0,0,7,4,13,0,4,6,0,75,4,0,22,79,0,3,0,9,5,277,0,24,0,0,23,61,51,0,12,6,66,0,0,57,34,0,72,39,0,2109
Emerald - Cockatoo,0,153,0,3,0,17,0,0,0,0,0,4,9,64,19,7,15,0,8,0,6,0,0,4,10,3,8,16,0,0,0,3,11,18,92,16,295,3,30,4,0,0,7,0,7,6,12,199,108,6,0,15,249,5,37,0,0,0,8,23,7,6,0,8,5,0,0,9,0,5,4,12,9,25,0,15,42,6,194,23,0,35,64,0,22,0,22,9,285,4,30,5,4,90,86,111,3,11,12,41,3,0,44,68,0,114,35,0,2964
Koo Wee Rup,8,417,0,0,0,21,0,0,19,4,12,0,17,55,0,3,0,0,0,0,6,0,7,5,4,5,4,4,0,5,11,4,0,15,50,26,144,0,17,4,3,8,0,0,5,4,25,123,45,0,0,11,134,19,116,0,0,0,0,13,0,9,0,0,0,0,0,5,0,0,0,7,0,4,0,0,17,0,41,3,0,11,37,0,10,0,5,5,245,0,16,12,91,46,26,38,0,3,5,35,0,0,50,25,0,79,34,0,2251
Pakenham - North,0,39,3,0,0,4,0,0,0,0,24,0,12,94,0,5,3,0,0,0,0,38,39,6,14,7,8,0,0,0,0,0,11,12,62,51,279,0,8,0,0,4,26,0,9,40,22,44,319,3,0,6,368,12,180,0,0,0,0,38,4,0,0,52,6,0,0,4,0,0,0,9,9,10,0,7,11,0,74,15,0,23,58,0,64,0,9,11,473,3,36,3,13,69,142,198,0,0,5,19,3,0,62,63,0,105,56,0,3427
Pakenham - South,0,78,4,0,0,8,4,0,0,0,4,0,66,491,0,10,31,0,9,0,30,22,32,20,28,304,28,46,3,16,0,17,24,45,265,93,716,7,57,71,21,38,43,20,31,139,9,637,613,9,0,3,405,17,191,27,0,0,0,49,16,15,0,5,0,0,0,30,4,17,4,78,25,37,0,28,172,5,334,44,0,91,111,0,47,0,155,0,485,8,72,11,8,319,254,345,6,3,15,115,10,0,226,164,0,328,104,0,8467
Berwick - North,0,10,0,0,0,0,0,0,0,0,0,0,27,72,0,8,15,0,9,0,0,0,0,0,0,4,6,14,0,0,0,0,0,12,225,5,270,9,12,8,23,17,16,3,26,312,23,404,231,0,3,5,535,7,31,8,0,0,0,21,4,0,0,4,4,0,0,7,3,0,4,87,20,69,0,10,234,0,338,52,0,75,96,0,72,5,15,24,1020,179,126,49,1271,762,260,247,4,4,13,74,6,0,146,252,0,182,99,0,8202
Berwick - South,0,30,0,0,0,0,0,0,0,0,0,0,10,26,3,3,0,0,3,0,3,0,0,0,3,0,0,3,0,44,5,0,3,9,55,6,227,0,13,6,3,5,6,0,11,0,18,195,71,9,0,0,528,3,37,0,0,0,0,25,0,0,0,0,10,0,0,14,0,0,0,17,15,27,0,4,23,0,114,53,0,27,51,0,46,0,11,5,607,9,36,3,0,139,17,174,0,0,20,15,7,0,24,85,0,100,23,0,3057
Doveton,0,0,0,0,0,0,0,0,0,0,0,0,20,17,4,7,0,0,0,21,0,20,0,6,25,13,7,3,0,0,0,0,3,19,37,8,91,7,32,17,10,10,22,0,10,60,11,61,72,0,0,21,143,6,43,0,0,0,0,6,6,11,0,0,0,0,0,4,0,0,0,0,5,4,0,10,9,0,17,3,0,21,28,0,37,13,10,7,186,3,17,6,102,49,87,115,0,0,0,29,5,0,32,30,0,75,32,0,1819
Hallam,4,29,0,0,0,0,4,0,3,0,0,0,355,397,5,31,73,19,96,4,106,234,49,132,177,353,260,136,0,36,0,16,61,81,431,128,1108,66,387,251,108,131,144,8,44,85,9,129,546,10,0,12,288,58,417,8,0,3,0,65,40,177,0,0,9,0,0,35,7,0,0,7,25,21,0,59,22,3,373,63,0,131,119,3,22,14,140,10,179,22,30,7,3,111,192,108,0,7,4,21,4,0,497,77,0,828,163,0,10641
Narre Warren North,0,100,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,8,0,3,6,0,0,0,0,0,7,52,10,180,3,27,9,4,52,3,0,8,0,9,49,30,0,0,5,23,3,46,0,0,0,0,5,3,4,0,0,0,0,0,4,0,0,0,0,7,7,0,0,12,0,93,18,0,15,39,0,17,0,5,6,95,8,11,4,0,30,140,25,0,3,10,3,0,0,23,34,0,53,21,0,1353
Endeavour Hills - North,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,5,3,0,0,0,0,0,0,5,43,3,94,6,0,0,0,0,5,0,3,0,3,8,26,0,0,0,25,0,33,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,4,12,0,0,11,0,44,17,0,11,33,0,21,0,10,0,340,11,19,4,0,57,82,121,0,0,0,7,0,0,19,29,0,43,19,0,1216
Endeavour Hills - South,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,24,0,57,0,4,0,3,4,0,0,7,0,10,320,160,0,0,0,141,7,29,0,0,0,0,15,0,0,0,0,8,0,0,5,3,5,0,31,10,6,0,0,23,0,52,21,0,21,36,0,32,0,35,0,166,0,19,3,16,114,0,63,0,0,9,36,10,0,33,54,0,37,22,0,1689
Narre Warren - North East,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,102,0,5,0,0,0,3,0,0,0,3,8,28,3,0,0,25,3,32,0,0,0,0,6,6,0,0,0,0,3,0,3,0,0,0,0,7,8,0,3,4,0,37,12,0,15,33,0,21,0,4,0,316,5,12,0,5,61,5,55,0,0,0,0,0,0,15,17,0,38,9,0,979
Narre Warren - South West,0,3,0,0,0,0,0,0,0,0,0,0,11,34,0,9,15,4,6,0,0,9,3,0,8,3,4,22,0,0,0,7,0,34,103,58,255,6,41,70,15,21,62,0,75,224,34,553,2630,3,3,17,1113,15,69,3,0,0,0,91,5,10,0,0,91,0,0,80,33,17,4,126,92,44,0,12,170,0,166,78,0,153,109,0,1000,0,135,4,247,10,98,16,25,352,151,365,0,0,3,219,24,0,175,282,0,252,139,0,10339
Cranbourne,0,43,0,0,0,9,0,0,0,0,0,0,12,41,0,6,14,0,0,0,0,0,15,9,26,4,9,18,4,0,0,0,6,18,127,18,328,5,27,14,21,5,21,0,25,151,31,360,878,0,0,39,847,13,183,15,0,0,0,81,4,6,0,0,0,0,0,24,4,0,0,71,8,20,0,14,167,3,223,12,0,125,74,0,174,0,156,13,452,6,62,17,142,417,67,405,3,13,10,224,19,0,198,203,0,185,90,0,7040
Cranbourne East,0,47,0,0,0,3,4,0,0,0,0,3,4,143,0,4,0,0,5,0,0,0,14,0,5,0,3,0,0,0,0,0,0,16,139,30,271,0,5,5,0,6,5,0,11,0,12,200,151,0,0,0,141,0,79,0,0,0,0,18,10,0,0,0,0,0,0,16,0,46,0,9,13,15,0,3,35,0,64,30,0,47,42,0,45,0,11,16,826,41,44,0,4,47,128,166,0,0,8,191,0,0,23,67,0,97,43,0,3407
Cranbourne North,0,32,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,3,0,58,0,137,3,3,0,0,3,7,0,8,6,10,235,100,0,0,0,72,4,39,0,0,0,0,26,4,0,0,0,0,0,0,10,0,0,0,4,7,9,0,0,3,0,52,15,0,12,53,0,13,0,0,4,299,11,18,0,7,104,8,128,0,0,5,12,0,0,20,26,0,51,18,0,1710
Cranbourne South,5,578,0,0,0,26,0,0,0,9,22,0,11,59,0,0,6,0,5,0,0,0,5,0,0,4,6,6,0,0,3,0,5,10,50,16,249,3,41,0,3,5,4,0,6,0,10,15,31,0,0,0,13,12,128,4,0,0,0,3,0,0,0,0,0,3,0,10,0,0,0,3,6,0,0,0,13,0,37,18,0,18,40,0,9,0,3,0,179,3,24,0,3,6,123,58,0,43,0,65,0,0,28,37,5,75,36,0,2203
Cranbourne West,0,12,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,9,104,0,3,0,0,0,0,0,0,0,19,86,18,0,0,0,63,4,43,0,0,0,0,11,5,0,0,0,0,0,0,7,0,0,0,0,9,3,0,3,18,0,30,7,0,11,23,0,21,0,0,3,147,0,0,0,0,35,38,83,0,0,0,13,5,0,10,32,0,47,10,0,1038
Hampton Park - Lynbrook,0,5,0,0,0,0,0,0,0,0,4,0,0,14,0,3,0,0,3,0,0,0,3,0,7,8,4,5,0,3,0,0,25,5,24,7,131,0,11,0,0,0,16,0,6,3,18,226,88,0,0,4,235,5,62,0,0,0,0,22,5,0,0,0,0,0,0,3,0,13,0,24,7,5,0,8,51,0,75,4,0,18,47,0,32,0,7,8,543,0,40,0,3,122,12,232,0,0,0,5,5,0,27,63,0,74,33,0,2425
Lynbrook - Lyndhurst,0,12,0,0,0,0,0,0,0,0,0,0,12,28,0,0,4,6,0,0,4,6,8,37,27,13,5,71,0,23,0,18,6,21,47,52,177,18,20,24,5,3,40,0,14,16,14,192,100,3,0,9,272,11,78,5,0,4,0,22,3,56,0,0,0,0,0,7,3,0,0,12,12,10,0,19,5,0,76,27,0,83,47,0,34,0,4,3,220,3,24,3,0,58,203,159,0,0,0,5,0,0,43,28,0,119,48,0,2751
Pearcedale - Tooradin,0,367,0,3,3,10,0,0,0,0,0,0,5,25,0,0,3,0,3,0,0,3,6,11,3,0,6,7,0,0,0,0,13,28,40,25,197,0,18,9,0,7,7,0,0,0,9,72,50,0,0,4,72,8,59,0,0,16,0,15,0,0,0,0,5,0,0,0,0,0,0,9,3,4,0,4,8,0,58,8,0,17,21,0,10,0,3,5,115,0,28,0,0,27,0,51,0,20,3,39,6,0,41,95,0,72,30,0,1781
Narre Warren South (East),0,8,0,0,0,0,0,0,0,0,0,0,4,14,0,4,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,8,4,28,0,102,0,0,8,0,0,4,0,0,0,3,97,103,0,0,3,83,3,19,0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,9,6,16,0,0,41,0,77,24,0,28,38,0,13,0,11,0,128,0,33,3,0,41,4,71,0,0,4,12,0,0,16,33,0,52,13,0,1203
Narre Warren South (West),0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,5,17,0,88,0,5,0,0,0,3,0,0,4,0,48,18,0,0,0,45,4,46,0,0,0,0,9,3,0,0,3,0,0,0,0,4,0,8,11,10,0,0,4,7,0,35,14,0,10,34,0,26,0,0,3,391,3,102,3,0,63,29,149,0,0,3,5,0,0,20,33,0,48,29,0,1376
Clarinda - Oakleigh South,0,21,0,0,0,0,0,0,0,0,0,3,82,62,10,43,3,97,52,0,18,32,52,0,3,5,40,11,0,3,0,0,38,12,79,8,145,13,36,234,0,39,49,0,22,5,13,152,208,3,0,6,75,17,55,0,0,0,0,12,4,35,0,3,0,0,0,8,0,0,0,0,23,4,0,0,7,0,81,27,0,28,120,0,13,0,6,4,104,0,28,7,7,27,169,75,0,0,6,42,4,0,62,51,0,189,35,0,2929
Clayton South,0,29,0,0,0,0,3,0,0,9,0,0,176,553,0,30,31,17,159,0,22,25,194,54,135,137,121,56,0,18,3,0,128,24,169,15,225,30,59,87,23,181,174,0,18,105,3,33,169,9,0,5,127,19,167,29,3,0,0,135,52,78,12,8,7,0,0,69,10,0,3,0,0,4,0,8,11,0,156,104,0,52,139,0,25,5,56,3,131,6,33,0,8,77,31,98,0,0,3,46,17,0,269,45,0,424,80,0,5786
Dandenong,12,193,6,9,21,22,14,10,0,10,10,14,1708,2128,40,678,546,392,703,54,779,1331,847,1186,1684,2940,1410,620,8,145,125,145,721,391,1332,646,2660,262,1828,1055,1089,595,1348,44,268,790,64,1039,2562,37,6,98,1145,262,2276,119,16,18,134,1501,280,1027,9,53,72,24,0,119,20,48,14,453,53,198,6,550,339,10,1704,174,6,843,701,6,2309,35,849,106,978,572,285,129,2691,1118,622,1261,14,5,27,211,55,10,1843,503,0,4180,1074,0,65688
Dandenong North,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,4,0,0,9,0,12,4,5,13,35,0,0,3,0,0,0,0,5,9,35,0,129,3,16,0,5,3,0,0,10,4,18,60,45,0,0,4,123,10,42,0,0,0,0,16,4,5,0,4,0,0,0,12,0,0,0,3,8,14,0,0,13,0,66,14,0,3,61,0,35,0,10,9,367,7,33,10,16,102,194,140,0,0,3,67,0,0,18,45,0,91,45,0,2081
Dingley Village,0,39,0,0,0,0,0,0,0,0,0,0,10,36,0,0,66,11,38,0,0,0,24,0,22,3,5,9,0,0,0,0,85,13,76,96,122,5,22,3,0,4,24,0,3,3,6,111,72,5,0,3,87,8,28,34,0,0,0,12,4,3,0,0,0,0,0,0,0,0,0,7,3,8,0,4,28,0,144,23,0,23,28,0,11,0,9,3,157,0,40,0,0,63,41,19,9,0,35,70,0,0,16,42,0,76,26,0,1992
Keysborough,4,93,0,0,0,5,0,0,0,4,0,0,188,307,4,47,53,29,244,0,218,282,21,28,109,263,105,153,0,58,0,4,121,49,234,98,668,41,185,180,52,102,205,0,47,162,14,327,908,18,0,3,454,29,145,0,0,0,0,47,18,122,0,3,0,0,0,44,21,0,0,97,23,29,0,17,46,4,260,77,0,145,151,0,41,5,39,7,895,22,76,16,4,174,181,144,3,0,3,80,9,0,263,150,0,589,156,0,10234
Noble Park North,0,4,0,0,0,0,0,0,0,0,0,0,113,110,8,24,11,43,146,0,8,22,43,67,29,167,69,11,0,4,0,35,15,10,41,15,106,35,50,79,16,62,97,0,16,8,17,17,168,4,0,9,139,15,60,0,0,0,0,20,10,63,0,29,0,0,0,13,7,0,0,21,577,9,0,19,26,0,39,42,0,23,23,0,10,0,18,0,326,0,38,0,6,79,11,76,4,0,8,9,0,0,46,377,0,240,61,0,4096
Springvale,0,12,3,0,0,5,0,0,0,0,5,0,73,130,5,59,21,116,148,0,30,26,100,104,54,61,70,36,0,18,4,4,35,40,201,13,356,54,143,111,90,59,70,0,61,51,14,445,1095,20,4,6,731,28,254,31,0,0,3,60,15,70,3,13,5,3,0,39,4,0,3,90,15,24,0,36,105,0,357,51,0,121,213,0,218,0,126,29,634,20,151,25,67,326,133,265,0,0,0,78,10,0,235,356,0,602,177,0,9711
Springvale South,0,3,0,0,0,4,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,3,16,3,36,0,0,0,0,0,0,0,5,15,6,70,49,0,0,7,72,3,17,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,44,4,0,27,27,0,11,0,22,5,268,0,20,0,0,39,87,67,0,0,0,11,0,0,14,24,0,39,21,0,1126
Noble Park - East,0,4,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,4,6,31,0,63,0,3,3,4,3,0,0,9,0,7,48,24,0,0,15,123,13,19,4,0,0,0,3,13,9,0,0,0,0,0,0,0,0,0,0,5,0,0,3,12,0,37,13,0,4,25,0,50,0,0,7,151,6,17,9,173,141,181,150,0,0,0,40,4,0,14,65,0,51,36,0,1644
Noble Park - West,0,4,0,0,0,0,0,0,0,0,0,0,22,27,0,10,16,0,0,0,0,8,0,0,8,4,21,0,0,0,0,0,0,7,32,0,100,8,9,9,0,6,7,0,4,0,0,79,63,0,0,0,98,3,30,3,0,0,0,16,6,3,0,0,0,0,0,3,0,0,0,55,3,0,0,0,53,3,71,14,0,15,42,0,32,0,13,6,268,6,108,12,79,113,225,148,0,0,0,8,5,0,44,65,0,83,45,0,2120
Ashwood - Chadstone,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,12,10,42,80,0,3,0,0,0,53,4,19,19,0,6,0,17,9,27,132,122,342,21,12,66,14,21,113,0,25,35,13,195,592,6,0,9,246,0,27,0,0,0,0,35,0,7,0,3,9,7,0,43,7,0,0,16,6,22,0,10,26,0,275,86,4,61,83,0,37,5,8,12,380,284,63,11,14,153,214,150,0,5,15,91,0,0,98,72,4,189,56,0,4902
Clayton,4,39,0,0,0,6,6,0,5,5,0,0,265,420,23,55,40,112,405,0,36,917,82,62,197,917,585,110,7,19,25,38,94,97,449,192,1074,90,232,1046,80,139,267,12,87,80,28,338,796,75,7,97,775,86,395,49,14,15,0,571,34,180,9,23,11,4,0,655,74,11,6,121,49,95,0,82,207,12,2290,480,0,625,420,5,258,4,219,39,253,6444,99,133,5138,1617,328,355,0,7,15,138,13,0,375,216,0,1179,457,0,34203
